id,gender,grade,Teacher,race,hispanic,disability,age_months,iq_1_nonverb,
358,1,1,204,5,0,1,83,116,
359,1,1,204,5,0,1,74,112,
360,0,1,204,5,0,1,75,84,
361,0,1,204,3,1,1,81,109,
362,0,1,204,5,0,1,82,126,
363,0,1,204,5,0,1,86,107,
450,1,1,503,1,1,1,71,106,
451,1,1,503,3,0,1,82,114,
452,1,1,503,5,1,1,74,104,
453,0,1,503,5,1,1,77,112,
454,0,1,503,5,0,1,79,118,
455,1,1,503,5,0,1,74,128,
456,0,1,503,5,0,1,80,102,
457,1,1,503,5,0,1,79,120,
458,0,1,503,5,0,10,77,116,
459,0,1,503,5,1,1,79,116,
460,0,1,503,5,0,1,79,130,
461,0,1,503,5,0,1,77,125,
462,1,1,503,5,1,1,73,,
463,0,1,503,5,0,1,83,125,
464,0,1,503,5,0,1,75,116,
465,0,1,503,5,0,1,76,128,
466,0,1,503,3,0,1,79,116,
467,0,1,503,5,1,1,82,130,
468,0,1,504,5,0,1,76,112,
469,0,1,504,5,1,1,71,121,
470,1,1,504,5,0,1,73,107,
471,1,1,504,5,0,1,82,133,
472,1,1,504,5,0,1,74,112,
473,1,1,504,5,0,1,71,129,
474,0,1,504,5,0,1,78,122,
475,0,1,504,5,0,1,73,80,
476,1,1,504,5,1,1,73,120,
477,0,1,504,5,1,1,71,114,
478,1,1,504,5,1,1,82,133,
479,0,1,504,1,1,1,71,,
480,1,1,504,14,0,1,82,118,
481,0,1,504,5,0,1,72,116,
482,1,1,504,5,0,1,73,135,
483,1,1,504,5,0,1,79,109,
484,0,1,504,5,0,1,76,114,
485,0,1,504,5,0,1,79,120,
486,0,1,504,5,1,1,89,,
487,1,1,505,5,0,13,78,70,
488,0,1,505,5,0,13,83,114,
489,0,1,511,5,1,1,82,153,
490,0,1,514,5,0,1,81,120,
491,1,1,514,5,0,1,77,112,
492,1,1,514,5,0,10,71,121,
493,0,1,514,5,0,1,72,114,
494,1,1,514,5,1,1,71,124,
495,1,1,514,5,1,1,81,129,
496,0,1,514,5,1,1,73,,
497,0,1,514,5,0,1,74,124,
498,0,1,514,5,1,10,74,101,
499,1,1,514,2,0,1,69,125,
500,0,1,514,5,0,1,79,123,
501,1,1,514,5,0,1,81,135,
502,0,1,514,5,0,1,73,120,
503,1,1,514,14,0,1,72,125,
504,0,1,514,5,0,1,74,125,
505,1,1,514,3,0,10,88,,
506,1,1,514,5,1,1,85,,
507,1,1,514,1,1,1,89,,
508,1,1,515,5,1,1,74,114,
509,0,1,515,5,0,1,72,104,
510,1,1,515,5,0,1,80,116,
511,1,1,515,5,0,1,73,120,
512,0,1,515,5,0,1,79,123,
513,1,1,515,5,0,1,79,99,
514,0,1,515,5,1,1,73,95,
515,0,1,515,5,1,1,78,96,
516,0,1,515,5,0,1,82,93,
517,1,1,515,3,0,1,77,,
518,1,1,515,5,0,1,73,116,
519,1,1,515,5,1,1,80,114,
520,0,1,515,16,1,1,82,109,
521,0,1,515,14,0,1,75,67,
522,0,1,515,5,0,1,73,98,
523,1,1,515,5,0,1,81,107,
524,0,1,515,3,0,1,79,102,
525,0,1,601,16,0,1,71,109,
526,1,1,601,5,0,10,83,109,
591,1,1,701,5,0,1,72,128,
592,1,1,701,5,1,1,74,124,
593,1,1,701,5,0,1,73,130,
594,0,1,701,5,0,1,73,139,
595,0,1,701,5,0,1,73,92,
596,0,1,701,5,0,1,73,125,
597,0,1,701,5,0,10,72,124,
598,1,1,701,5,0,1,75,118,
599,1,1,701,5,0,1,80,123,
600,1,1,701,3,0,1,73,143,
601,0,1,701,5,0,1,82,120,
602,1,1,701,3,0,1,79,109,
603,0,1,701,3,0,1,83,96,
604,0,1,701,5,0,1,77,109,
605,0,1,701,5,0,1,77,112,
606,1,1,701,5,0,1,74,114,
607,1,1,701,5,0,1,78,122,
608,0,1,701,5,0,1,80,132,
609,0,1,701,5,0,1,77,132,
610,0,1,701,3,0,1,80,133,
611,1,1,701,5,0,1,83,118,
612,0,1,701,5,0,1,81,,
613,1,1,701,5,0,1,88,,
614,0,1,702,5,0,1,82,122,
615,0,1,702,5,0,1,77,116,
616,1,1,702,5,0,16,82,105,
617,0,1,702,5,0,1,82,,
618,1,1,702,5,0,1,73,118,
619,1,1,702,5,0,1,72,109,
620,1,1,702,5,0,1,81,112,
621,1,1,702,3,0,1,79,116,
622,0,1,702,5,0,1,82,112,
623,1,1,702,5,0,1,78,109,
624,1,1,702,5,0,1,83,102,
625,1,1,702,5,0,1,83,118,
626,1,1,702,5,1,1,81,125,
627,0,1,702,5,0,1,81,125,
628,1,1,702,14,0,1,78,118,
629,1,1,702,3,0,1,74,109,
630,0,1,702,5,0,1,81,123,
631,0,1,702,5,0,1,82,99,
632,1,1,702,5,1,1,74,125,
633,0,1,702,5,1,1,78,126,
634,1,1,702,5,0,1,74,109,
635,0,1,702,5,0,1,83,118,
636,0,1,713,5,0,1,82,112,
637,1,1,713,5,0,1,79,122,
638,1,1,713,5,0,1,76,109,
639,0,1,713,5,0,1,74,92,
640,0,1,713,5,1,1,79,87,
641,1,1,713,5,0,1,74,130,
642,0,1,713,5,0,1,76,109,
643,0,1,713,5,0,1,84,122,
644,1,1,713,5,0,1,81,114,
645,1,1,713,5,1,1,79,118,
646,0,1,713,5,0,1,81,120,
647,1,1,713,3,0,1,80,125,
648,0,1,713,5,1,11,72,101,
649,0,1,713,3,0,1,77,98,
650,0,1,713,5,0,1,73,109,
651,0,1,713,5,0,1,83,118,
652,1,1,713,3,0,1,80,130,
653,1,1,713,5,0,1,74,128,
654,0,1,713,5,0,1,77,114,
655,1,1,713,5,0,1,76,112,
656,1,1,713,5,0,1,72,109,
657,1,1,713,5,0,1,75,129,
746,1,1,608,3,0,1,79,87,
747,1,1,801,5,0,1,80,132,
748,1,1,801,5,0,10,83,112,
749,1,1,801,5,0,1,77,130,
750,1,1,801,5,0,1,75,145,
751,0,1,801,5,0,1,82,96,
752,0,1,801,5,0,1,71,119,
753,1,1,801,5,0,1,75,116,
